;150734;Tour des Vidaux;"BIB IGP du Var ""Vidaux""";?;Méditerrannée (IGP);2016;BIB;10L;2.282
;150735;Tour des Vidaux;"BIB IGP du Var ""Vidaux""";?;Méditerrannée (IGP);2016;BIB;10L;2.282
;150736;Tour des Vidaux;"BIB IGP du Var ""Vidaux""";?;Méditerrannée (IGP);2016;BIB;10L;2.348
;150731;Tour des Vidaux;"IGP du Var  "" Vidaux"" ";Rosé;Méditerrannée (IGP);2016;6 Blles;75 cl;3.230
;A Créer;Tour des Vidaux;"IGP du Var  "" Vidaux"" ";Rosé;Méditerrannée (IGP);2016;3 Blles;150 cl;7.980
;150732;Tour des Vidaux;"IGP du Var  "" Vidaux """;Rouge;Méditerrannée (IGP);2016;6 Blles;75 cl;3.230
;150733;Tour des Vidaux;"IGP du Var   "" Vidaux """;Blanc;Méditerrannée (IGP);2016;6 Blles;75 cl;3.408
;A Créer;Tour des Vidaux;"IGP du Var  "" Vidaux"" ";Rosé;Méditerrannée (IGP);2016;12 Blles;50cl;2.950
;A Créer;Tour des Vidaux;"IGP du Var  "" Vidaux """;Rouge;Méditerrannée (IGP);2016;12 Blles;50cl;2.950
;A Créer;Tour des Vidaux;"IGP du Var   "" Vidaux """;Blanc;Méditerrannée (IGP);2016;12 Blles;50cl;2.950
;160109;Tour des Vidaux;"BIB Côtes de provence ""Réserve des Vidaux""  ";Rosé;Provence;2016;BIB;10L;3.998
;160110;Tour des Vidaux;"BIB  Côtes de provence ""Réserve des Vidaux""  ";Rouge;Provence;2016;BIB;10L;3.998
;160106;Tour des Vidaux;"Cotes de provence "" Réserve des Vidaux """;Rosé;Provence;2016;6 Blles;75cl;4.608
;A Créer;Tour des Vidaux;"Cotes de provence "" Réserve des Vidaux """;Rosé;Provence;2016;3 Blles;150cl;9.750
;160107;Tour des Vidaux;"Cotes de provence "" Réserve des Vidaux """;Rouge;Provence;2016;6 Blles;75cl;4.608
;160108;Tour des Vidaux;"Cotes de provence "" Réserve des Vidaux """;Blanc;Provence;2016;6 Blles;75cl;4.608
;160146;Tour des Vidaux;"Cotes de provence "" Réserve des Vidaux """;Rosé;Provence;2016;12 Blles;50cl;4.037
;160147;Tour des Vidaux;"Cotes de provence "" Réserve des Vidaux """;Rouge;Provence;2016;12 Blles;50cl;4.037
;160148;Tour des Vidaux;"Cotes de provence "" Réserve des Vidaux """;Blanc;Provence;2016;12 Blles;50cl;4.037
;160115;Clos Réal (Pierrefeu);"VINS BIO ET BIODYNAMIE Cotes de provence "" Réal """;Rosé;Provence;2015;6 Blles;75cl;7.500
;160100;Clos Réal (Pierrefeu);"VINS BIO ET BIODYNAMIE  Cotes de provence "" Réal "" (Dispo Mai 2017)";Rosé;Provence;2016;6 Blles;75cl;6.900
;160118;Clos Réal (Pierrefeu);"VINS BIO ET BIODYNAMIE Cotes de provence "" Réal """;Rosé;Provence;2015;3 Blles;150cl;15.008
;160445;Clos Réal (Pierrefeu);"VINS BIO ET BIODYNAMIE Cotes de provence "" Réal """;Rosé;Provence;2015;1 Blles;300cl;40.413
;160117;Clos Réal (Pierrefeu);"VINS BIO ET BIODYNAMIE Cotes de provence "" Réal """;Rouge;Provence;2014;6 Blles;75cl;9.833
;A Créer;Clos Réal (Pierrefeu);"VINS BIO ET BIODYNAMIE Cotes de provence "" Réal """;Rouge;Provence;2014;3 Blles;150cl;15.008
;160116;Clos Réal (Pierrefeu);"VINS BIO ET BIODYNAMIE Cotes de provence "" Réal """;Blanc;Provence;2015;6 Blles;75cl;8.715
;160217;Clos Réal (Pierrefeu);"VINS BIO ET BIODYNAMIE Cotes de provence "" Réal """;Blanc;Provence;2015;3 Blles;150 cl;15.008
;160122;Clos Réal (Pierrefeu);"VINS BIO ET BIODYNAMIE Cotes de provence "" Réal """;Rouge;Provence;2014;6 Blles;75cl;11.282
;160123;Clos Réal (Pierrefeu);"VINS BIO ET BIODYNAMIE Cotes de provence "" Clos Réal "" (Disponible Juin 2017)";Blanc;Provence;2016;6 Blles;75cl;12.317
;130219;Domaine du Rouët (Le Muy);Cotes de provence Belle Poule;Rosé;Provence;2016;6 Blles;75cl;8.177
;130221;Domaine du Rouët (Le Muy);Cotes de provence Belle Poule;Rouge;Provence;2014;6 Blles;75cl;8.177
;130220;Domaine du Rouët (Le Muy);Cotes de provence Belle Poule;Blanc;Provence;2016;6 Blles;75cl;8.177
;140112;Domaine de la Maurette (La Motte);Cotes de provence Domaine de la Maurette;Rosé;Provence;2016;6 Blles;75cl;5.213
;141205;Domaine de la Maurette (La Motte);Cotes de provence Domaine de la Maurette;Rosé;Provence;2016;12 Blles;50cl;3.882
;140113;Domaine de la Maurette (La Motte);Cotes de provence Domaine de la Maurette;Rouge;Provence;2013;6 Blles;75cl;5.213
;141206;Domaine de la Maurette (La Motte);Cotes de provence Domaine de la Maurette;Rouge;Provence;2013;12 Blles;50cl;3.882
;140114;Domaine de la Maurette (La Motte);Cotes de provence Domaine de la Maurette;Blanc;Provence;2015;6 Blles;75cl;5.213
;141207;Domaine de la Maurette (La Motte);Cotes de provence Domaine de la Maurette;Blanc;Provence;2015;12 Blles;50cl;3.882
;141211;Domaine de la Maurette (La Motte);Cotes de provence Cuvée Sacha (bouchon verre);Rosé;Provence;2016;6 Blles;75cl;6.875
;160580;Domaine de la Maurette (La Motte);Cotes de Provence Alix;Rouge;Provence;2015;6 Blles;75cl;6.875
;160581;Domaine de la Maurette (La Motte);Cotes de Provence Marie Léa;Blanc;Provence;2015;6 Blles;75cl;6.875
;260342;Domaine Château Paradis (Le Luc en Provence);"Château Paradis Cuvée ""Coup de Coeur""  Rosé";Rosé;Provence;2016;6 Blles;75cl;6.543
;121033;Domaine Château Paradis (Le Luc en Provence);"Château Paradis Cuvée ""Pascal""  Rouge";Rouge;Provence;2011;6 Blles;75cl;6.543
;121038;Domaine Château Paradis (Le Luc en Provence);"Château Paradis Cuvée ""Laure"" Blanc ";Blanc;Provence;2011;6 Blles;75cl;6.543
;150249;Château Miraval AOC (Correns);Cuvée Miraval ;Rosé;Provence;2016;6 Blles;75cl;11.355
;150350;Château Miraval AOC (Correns);Cuvée Miraval ;Rosé;Provence;2016;6 Blles;150cl;25.710
;150486;Château Miraval AOC (Correns);Cuvée Miraval;Rouge;Provence;2013/2014;6 Blles;75cl;14.998
;150487;Château Miraval AOC (Correns);Cuvée Miraval;Blanc;Provence;2013/2014;6 Blles;75cl;18.211
;160546;Château Minuty (Gassin);Cuvée M de Minuty AOC Cote de provence;Rosé;Provence;2016;6 Blles;75 cl;8.742
;22421;Château Minuty (Gassin);Cuvée M de Minuty AOC Cote de provence;Rosé;Provence;2016;12 Blles;50 cl;6.841
;22149;Château Minuty (Gassin);Cuvée M de Minuty AOC Cote de provence;Rosé;Provence;2016;3 Blles;150 cl;22.903
;22420;Château Minuty (Gassin);Cuvée M de Minuty AOC Cote de provence ;Rouge;Provence;2016;12 Blles;50 cl;6.841
;160621;Château Minuty (Gassin);Cuvée M de Minuty AOC Cote de provence ;Rouge;Provence;2016;6 Blles;75 cl;8.742
;22419;Château Minuty (Gassin);Cuvée M de Minuty AOC Cote de provence ;Blanc;Provence;2016;12 Blles;75 cl;8.748
;22422;Château Minuty (Gassin);Cuvée M de Minuty AOC Cote de provence ;Blanc;Provence;2016;12 Blles;50 cl;6.841
;160436;Château Minuty (Gassin);Cuvée PRESTIGE AOC Cote de provence ;Rosé;Provence;2016;6 Blles;75 cl;12.708
;22202;Château Minuty (Gassin);Cuvée PRESTIGE AOC Cote de provence ;Rosé;Provence;2016;3 Blles;150 cl;29.492
;33210;Château Minuty (Gassin);Cuvée PRESTIGE AOC Cote de provence ;Rouge;Provence;2016;12 Blles;75 cl;12.708
;120714;Château Minuty (Gassin);Cuvée ROSE ET OR AOC Cote de provence (Sur Quotas);Rosé;Provence;2016;6 Blles;75 cl;19.584
;130445;Château Minuty (Gassin);Cuvée ROSE ET OR AOC Cote de provence (Sur Quotas);Rosé;Provence;2016;3 Blles;150 cl;51.838
;140326;Château Minuty (Gassin);Cuvée ROUGE ET OR AOC Cote de provence (Sur Quotas);Rouge;Provence;2015;6 Blles;75 cl;19.584
;130752;Château Minuty (Gassin);Cuvée BLANC ET OR AOC Cote de provence (Sur Quotas);Blanc;Provence;2015;6 Blles;75 cl;19.584
;160530;Domaine La Rouillère AOC (Gassin);Domaine La Rouillère;Rosé;Provence;2016;6 Blles;75 cl;6.700
;160526;Domaine La Rouillère AOC (Gassin);Domaine La Rouillère;Rosé;Provence;2016;3 Blles;150 cl;15.500
;130699;Domaine La Rouillère AOC (Gassin);Domaine La Rouillère;Rosé;Provence;2016;1 Blle;300 cl;59.800
;160529;Domaine La Rouillère AOC (Gassin);Domaine La Rouillère;Rouge;Provence;2016;6 Blles;75 cl;6.700
;160531;Domaine La Rouillère AOC (Gassin);Domaine La Rouillère;Blanc;Provence;2016;6 Blles;75 cl;6.700
;130697;Domaine La Rouillère AOC (Gassin);Grande Réserve La Rouillère;Rosé;Provence;2016;6 Blles;75 cl;9.500
;160521;Domaine La Rouillère AOC (Gassin);Grande Réserve La Rouillère;Rouge;Provence;2016;6 Blles;75 cl;11.300
;160522;Domaine La Rouillère AOC (Gassin);Grande Réserve La Rouillère;Blanc;Provence;2016;6 Blles;75 cl;11.000
;130698;Domaine La Rouillère AOC (Gassin);Grande Réserve La Rouillère;Rosé;Provence;2016;3 Blles;150 cl;21.100
;160523;Domaine La Rouillère AOC (Gassin);Grande Réserve La Rouillère;Blanc;Provence;2016;3 Blles;150 cl;24.300
;160524;Domaine La Rouillère AOC (Gassin);Grande Réserve La Rouillère;Rouge;Provence;2016;3 Blles;150 cl;24.500
;22444;Domaine Tropez (Gassin);Crazy Tropez IGP  ;Rosé;Provence;2016;6 Blles;75 cl;3.774
;140115;Domaine Tropez (Gassin);Crazy Tropez IGP  ;Rouge;Provence;2016;6 Blles;75 cl;3.784
;140116;Domaine Tropez (Gassin);Crazy Tropez IGP  ;Blanc;Provence;2016;6 Blles;75 cl;4.250
;260431;Domaine Tropez (Gassin);Domaine Tropez AOC Côte de Provence;Rosé;Provence;2016;6 Blles;75 cl;7.276
;260430;Domaine Tropez (Gassin);Domaine Tropez AOC Côte de Provence;Rouge;Provence;2016;6 Blles;75 cl;7.276
;260432;Domaine Tropez (Gassin);Domaine Tropez AOC Côte de Provence;Blanc;Provence;2016;6 Blles;75 cl;7.276
;140117;Domaine Tropez (Gassin);Domaine Tropez AOC Côte de Provence;Rosé;Provence;2016;3 Blles;150 cl;18.813
;140118;Domaine Tropez (Gassin);Domaine Tropez AOC Côte de Provence;Rosé;Provence;2016;1 Blle;300 cl;53.419
;33182;Domaine Tropez (Gassin);White Tropez AOC Côte de Provence  ;Rosé;Provence;2016;6 Blles;75 cl;9.776
;22677;Domaine Tropez (Gassin);Ice Tropez x12 VP 6,5°;Rosé;Provence;;12 Blles;27,5 cl;2.053
;22728;Domaine Tropez (Gassin);Ice Tropez 0° x12 VP 6,5°;Rosé;Provence;;12 Blles;27,5 cl;1.983
;140504;Domaine Tropez (Gassin);Can Ice Tropez x24 VP 6,5°;Rosé;Provence;;24 Boites;25 cl;1.276
;140505;Domaine Tropez (Gassin);Can Ice Tropez x24 VP 0°;Rosé;Provence;;24 Boites;25 cl;1.166
;140604;Domaine de La Croix AOC (Croix-Valmer);Cuvée ORGANDI Cru Classé;Rosé;Provence;2016;6 Blles;75 cl;14.970
;140605;Domaine de La Croix AOC (Croix-Valmer);Cuvée ORGANDI Cru Classé;Rosé;Provence;2016;3 Blles;150 cl;28.827
;22396;Domaine de La Croix AOC (Croix-Valmer);Eloge Domaine de La Croix Cru Classé;Rosé;Provence;2016;6 Blles;75 cl;9.825
;22397;Domaine de La Croix AOC (Croix-Valmer);Eloge Domaine de La Croix Cru Classé;Rosé;Provence;2016;12 Blles;50 cl;8.041
;22398;Domaine de La Croix AOC (Croix-Valmer);Eloge Domaine de La Croix Cru Classé;Rosé;Provence;2016;3 Blles;150 cl;21.992
;22399;Domaine de La Croix AOC (Croix-Valmer);Eloge Domaine de La Croix Cru Classé;Rosé;Provence;2016;1 Blle;300 cl;67.598
;130449;Domaine de La Croix AOC (Croix-Valmer);Eloge Domaine de La Croix Cru Classé;Rosé;Provence;2016;1 Blle;600 cl;143.996
;22400;Domaine de La Croix AOC (Croix-Valmer);Eloge Domaine de La Croix Cru Classé;Rouge;Provence;2012;6 Blles;75 cl;13.272
;22401;Domaine de La Croix AOC (Croix-Valmer);Eloge Domaine de La Croix Cru Classé;Rouge;Provence;2010;12 Blles;50 cl;10.484
;22402;Domaine de La Croix AOC (Croix-Valmer);Eloge Domaine de La Croix Cru Classé;Rouge;Provence;2010;3 Blles;150 cl;31.276
;22410;Domaine de La Croix AOC (Croix-Valmer);Eloge Domaine de La Croix Cru Classé;Blanc;Provence;2013;6 Blles;75 cl;9.825
;22404;Domaine de La Croix AOC (Croix-Valmer);"Domaine de La Croix ""Cuvée Irresistible""";Rosé;Provence;2016;6 Blles;75 cl;7.517
;22405;Domaine de La Croix AOC (Croix-Valmer);"Domaine de La Croix ""Cuvée Irresistible""";Rosé;Provence;2015;12 Blles;50 cl;5.893
;22407;Domaine de La Croix AOC (Croix-Valmer);"Domaine de La Croix ""Cuvée Irresistible""";Rouge;Provence;2012;6 Blles;75 cl;8.175
;22408;Domaine de La Croix AOC (Croix-Valmer);"Domaine de La Croix ""Cuvée Irresistible""";Rouge;Provence;2010;12 Blles;50 cl;6.464
;22403;Domaine de La Croix AOC (Croix-Valmer);"Domaine de La Croix ""Cuvée Irresistible""";Blanc;Provence;2013;6 Blles;75 cl;7.517
;141232;Domaine des Beaucas AOC (Sainte-Maxime);Les hauts du golfe;Rosé;Provence;2016;6 Blles;75 cl;5.250
;141236;Domaine des Beaucas AOC (Sainte-Maxime);Les hauts du golfe;Rosé;Provence;2016;12 Blles;50 cl;4.351
;141239;Domaine des Beaucas AOC (Sainte-Maxime);Les hauts du golfe;Rosé;Provence;2016;3 Blles;150cl;12.374
;141233;Domaine des Beaucas AOC (Sainte-Maxime);Les hauts du golfe;Rouge;Provence;2016;6 Blles;75 cl;5.250
;141237;Domaine des Beaucas AOC (Sainte-Maxime);Les hauts du golfe;Rouge;Provence;2016;12 Blles;50 cl;4.351
;141234;Domaine des Beaucas AOC (Sainte-Maxime);Les hauts du golfe;Blanc;Provence;2016;6 Blles;75 cl;5.250
;141235;Domaine des Beaucas AOC (Sainte-Maxime);Les hauts du golfe;Blanc;Provence;2016;12 Blles;50 cl;4.351
;22816;Domaine Ott AOC (Taradeau);Château de Selle  ;Rosé;Provence;2016;6 Blles;75 cl;19.603
;A Créer;Domaine Pigoudet (Rians) ;L'Oratoire Cuvée Divine (Coteaux d'Aix);Rosé;Provence;2016;6 Blles;75 cl;7.560
;A Créer;Domaine Vico;Clos Sulana;Rosé;Corse;2016;6 Blles;75 cl;7.084
;A Créer;Domaine Roubine (Lorgues);La vie en Rose;Rosé;Provence;2016;6 Blles;75 cl;6.328
;160210;Domaine Uby;Ugni blanc /Colombart  IGP;?;Côte de Gascogne;2015;6 Blles;75 cl;4.089
;150557;Domaine Uby;Petit et gros manseng  IGP;?;Côte de Gascogne;2015;6 Blles;75 cl;5.112
;A Créer;Sélection;Côtes du Rhone Caprice d'Antoine rouge;Rouge;Vallée du Rhône; ;6 Blles;75 cl;4.620
;140434;Sélection;Côtes du Rhone Chapelle St Pierre Vieilles Vignes AOC rouge;Rouge;Vallée du Rhône;2012;6 Blles;75 cl;5.766
;A Créer;Sélection;Côtes du Rhone Villages Domaine des Tavans BIO Rouge;Rouge;Vallée du Rhône; ;6 Blles;75 cl;5.796
;A Créer;Sélection;Vaqueyras Fontimple Rouge;Rouge;Vallée du Rhône; ;6 Blles;75 cl;7.840
;A Créer;Domaine Gallety;Haute Vigne Domaine Gallety (Cotes du Vivarais);?;Vallée du Rhône; ;6 Blles;75 cl;8.218
;A Créer;Domaine Gallety;Domaine Gallety Vallée du Rhone (Elevage Fût de Chêne);?;Vallée du Rhône; ;6 Blles;75 cl;11.690
;130372;Maison Chapoutier;Viognier  Marius  ;?;Vallée du Rhône;2015;6 Blles;75 cl;4.658
;22518;Maison Chapoutier;Côtes du Rhone Belleruche  ;Rouge;Vallée du Rhône;2013;6 Blles;75 cl;6.116
;A Créer;Maison Chapoutier;Côtes du Rhone Belleruche  ;Blanc;Vallée du Rhône; ;6 Blles;75 cl;6.160
;22271;Maison Chapoutier;Crozes Hermitage La Petite Ruche;Rouge;Vallée du Rhône;2012;6 Blles;75 cl;10.999
;22272;Maison Chapoutier;Saint Joseph Deschamps ;Rouge;Vallée du Rhône;2014;6 Blles;75 cl;13.604
;33276;Maison Chapoutier;Côte Rotie Les Bécasses  ;Rouge;Vallée du Rhône;2012;6 Blles;75 cl;42.420
;22273;Maison Chapoutier;Chateauneuf du Pape La Bernardine A;Rouge;Vallée du Rhône;2008;6 Blles;75 cl;25.853
;20623;Maison Guigal;Côtes du rhone  ;Rouge;Vallée du Rhône;2011;12 Blles;75 cl;7.796
;10383;Maison Guigal;Croze Hermitage ;Rouge;Vallée du Rhône;2009;12 Blles;75 cl;13.069
;10381;Maison Guigal;St Joseph ;Rouge;Vallée du Rhône;2011;12 Blles;75 cl;17.175
;252008;Maison Guigal;Condrieu  ;Blanc;Vallée du Rhône;2011/2013;1 Blle;75 cl;28.911
;252007;Maison Guigal;Côte Rotie Brune et Blonde   ;Rouge;Vallée du Rhône;2006;1 Blle;75 cl;33.922
;252009;Maison Guigal;Hermitage  ;Rouge;Vallée du Rhône;2004;1 Blle;75 cl;52.039
;21546;Maison Guigal;"Côte Rotie  ""La Landonne"" AOC (Sur Quotas)";Rouge;Vallée du Rhône;Sur Demande;1 Blle;75 cl;264.552
;20822;Maison Guigal;"Côte Rotie  ""La Mouline"" AOC  (Sur Quotas)";Rouge;Vallée du Rhône;Sur Demande;1 Blle;75 cl;264.552
;20826;Maison Guigal;"Côte Rotie  ""La Turque"" AOC  (Sur Quotas)";Rouge;Vallée du Rhône;Sur Demande;1 Blle;75 cl;264.552
;252023;Maison Perrin Beaucastel;Chateauneuf du Pape Les Sinards  ;Rouge;Vallée du Rhône;2006;1 Blle;75 cl;27.230
